2020-04-24--20:05:06 INFO   com.demo  (6-3) A clean house is the sign of a broken computer
2020-04-24--20:05:07 INFO   com.demo  (7-3) I wonder what my parents did to fight boredom before the internet. I asked my 17 brothers and sisters and they didnt know either.
2020-04-24--20:05:07 INFO   com.demo  (8-3) A computer once beat me at chess, but it was no match for me at kick boxing
2020-04-24--20:05:07 INFO   com.demo  (9-3) Entered what I ate today into my new fitness app and it just sent an ambulance to my house
2020-04-24--20:05:08 INFO   com.demo  (10-3) My mom said that if I dont get off my computer and do my homework shell slam my head on the keyboard, but I think shes jokinfjreoiwjrtwe4to8rkljreun8f4ny84c8y4t58lym4wthylmhawt4mylt4amlathnatyn
2020-04-24--20:05:08 INFO   com.demo  (11-3) My email password has been hacked. Thats the third time Ive had to rename my pet
2020-04-24--20:05:08 INFO   com.demo  (12-3) Remember the time when emojis were called hieroglyphics?
2020-04-24--20:05:08 INFO   com.demo  (13-3) Writing a horror screenplay. It starts off with a ringing phone. The person answers, and its their mum saying I have a computer question.
2020-04-24--20:05:09 INFO   com.demo  (14-3) The first time I got a universal remote control, I thought to myself This changes everything
2020-04-24--20:05:09 INFO   com.demo  (15-3) Is your name Wi-Fi? Because Im feeling a connection
2020-04-24--20:05:09 INFO   com.demo  (16-3) Google is definitely a woman, it starts suggesting things before you can even finish your sentence
2020-04-24--20:05:10 INFO   com.demo  (17-3) I tried to escape the Apple store. I couldnt because there were no Windows
2020-04-24--20:05:10 INFO   com.demo  (18-3) My computers got Miley Virus. It has stopped twerking.
2020-04-24--20:05:10 INFO   com.demo  (19-3) Failure is not an option - it comes bundled with the software.
2020-04-24--20:05:11 INFO   com.demo  (20-3) If Bill Gates had a penny for every time I had to reboot my computer ...oh wait, he does.
2020-04-24--20:05:11 INFO   com.demo  (21-3) Give a Nigerian a fish hell eat for a day. Teach a Nigerian to phish and hell become a prince and start e-mailing people.
2020-04-24--20:05:11 INFO   com.demo  (22-3) I needed a password eight characters long so I picked Snow White and the Seven Dwarfs.
2020-04-24--20:05:11 INFO   com.demo  (23-3) I Googled how to start a wildfire. I got 48,500 matches.
2020-04-24--20:05:12 INFO   com.demo  (24-3) Cats spend two thirds of their lives sleeping, and the other third making viral videos.
2020-04-24--20:05:12 INFO   com.demo  (25-3) Yesterday I decided to change my WiFi name to Hack me if you can and when I woke up this morning I saw the name changed to Challenge accepted somebody help.
2020-04-24--20:05:12 INFO   com.demo  (26-3) My ex and I had a very amicable divorce. I know this because when I wrote the Facebook status Im getting a divorce, he was the first one to click Like.
2020-04-24--20:05:13 INFO   com.demo  (27-3) Youd think that with NSA reading our tweets all the time, they could star or retweet some of the good ones.
2020-04-24--20:05:13 INFO   com.demo  (28-3) If a dog was a computer, would its bark be bigger than its byte?
2020-04-24--20:05:13 INFO   com.demo  (29-3) I never ask my kids to call me, I just change the Netflix password and then dont respond to their texts.
2020-04-24--20:05:14 INFO   com.demo  (30-3) Apple should make a sarcasm font and call it the iRoll.
2020-04-24--20:05:14 INFO   com.demo  (31-3) I was going to be a computer forensics expert, but couldnt hack IT.
2020-04-24--20:05:14 INFO   com.demo  (32-3) Why do programmers always mix up Halloween and Christmas? Because 31 OCT = 25 DEC.
2020-04-24--20:05:14 INFO   com.demo  (33-3) What is an astronauts favorite place on a computer? The Space bar!
2020-04-24--20:05:15 INFO   com.demo  (34-3) What happens when a Buddhist becomes totally absorbed with the computer he is working with? He enters Nerdvana.
2020-04-24--20:05:15 INFO   com.demo  (35-3) Wikepedia: I know everything Facebook: I know everyone Google: I have everything Internet: You would be nothing without me Electricity: Keep talking bitches!
2020-04-24--20:05:15 INFO   com.demo  (36-3) Heres a picture of me with REM. Thats me in the corner
2020-04-24--20:05:16 INFO   com.demo  (37-3) My mother told me, you dont have to put anything in your mouth you dont want to. Then she made me eat broccoli, which felt like double standards
2020-04-24--20:05:16 INFO   com.demo  (38-3) Four fonts walk into a bar. The barman says: Oi - get out. We dont want your type in here
2020-04-24--20:05:16 INFO   com.demo  (39-3) I went to buy camouflage trousers but I couldnt find any
2020-04-24--20:05:17 INFO   com.demo  (40-3) Im on a whisky diet. Ive lost three days already.
2020-04-24--20:05:17 INFO   com.demo  (41-3) Im a big fan of whiteboards. I find them quite re-markable.
2020-04-24--20:05:17 INFO   com.demo  (42-3) Im reading a horror story in Braille. Something bad is about to happen I can feel it.
